raw - raw,raw - raw,Truncation - Truncation,Truncation - Truncation
Raman Shift,Intensity,Truncated,Truncated
Raw Data x cm-1,Raw Data y a. u.,Raman shift cm-1,Intensity a. u.
param: nan,param: nan,param: nan,param: nan
raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,raw data from data\raw\01_561nm_300g_3x20_mit1800_Toluol.txt,Truncated to [500, 1600] cm⁻¹ (449 points).,Truncated to [500, 1600] cm⁻¹ (449 points).
149.874,9157.65,502.217,3183.45
152.598,8578.95,504.832,3070.9
155.32,8117.55,507.446,2988.8
158.043,7616.85,510.059,2985.55
160.764,7211.65,512.672,3142.2
163.484,6734.8,515.284,3531.75
166.204,6397.5,517.895,4682.8
168.922,6144.0,520.505,7818.0
171.64,5809.85,523.114,9774.55
174.357,5566.8,525.723,9983.3
177.073,5358.1,528.331,9556.1
179.789,5195.9,530.938,8151.05
182.503,5048.75,533.544,4969.85
185.217,4908.25,536.149,3117.3
187.93,4868.8,538.754,2512.1
190.642,4883.75,541.358,2206.45
193.353,4831.1,543.961,1983.9
196.063,4911.9,546.563,1850.7
198.772,5053.9,549.165,1771.3
201.481,5203.9,551.765,1717.35
204.189,5587.25,554.365,1645.95
206.896,6111.75,556.964,1613.0
209.602,6952.25,559.563,1574.25
212.307,8021.7,562.16,1544.05
215.011,9411.55,564.757,1509.25
217.715,10833.55,567.353,1484.3
220.417,11740.5,569.948,1476.5
223.119,12136.55,572.542,1463.65
225.82,11622.75,575.136,1461.25
228.52,10500.2,577.728,1430.9
231.22,9094.55,580.32,1454.6
233.918,7693.4,582.912,1461.1
236.616,6505.4,585.502,1440.15
239.313,5618.75,588.092,1470.95
242.009,5004.9,590.68,1478.8
244.704,4499.9,593.268,1500.85
247.398,4219.75,595.856,1534.2
250.092,3956.85,598.442,1560.8
252.784,3748.6,601.028,1622.45
255.476,3606.05,603.613,1673.55
258.167,3488.75,606.197,1746.0
260.857,3408.65,608.78,1845.2
263.546,3324.35,611.362,2010.8
266.235,3275.4,613.944,2261.3
268.922,3226.1,616.525,2670.95
271.609,3179.45,619.105,3395.6
274.295,3140.55,621.685,4263.05
276.98,3123.95,624.263,4895.1
279.665,3106.1,626.841,5014.15
282.348,3102.25,629.418,4710.4
285.031,3107.45,631.994,4056.4
287.713,3098.55,634.57,3152.4
290.394,3062.95,637.145,2462.55
293.074,3112.25,639.718,2001.2
295.753,3114.1,642.292,1732.35
298.432,3099.65,644.864,1578.15
301.109,3106.4,647.436,1463.1
303.786,3117.85,650.006,1400.05
306.462,3118.85,652.576,1338.1
309.137,3129.6,655.146,1314.6
311.812,3154.7,657.714,1273.5
314.485,3162.8,660.282,1257.35
317.158,3155.95,662.849,1239.9
319.83,3154.8,665.415,1233.45
322.501,3171.6,667.98,1204.35
325.171,3210.9,670.545,1195.15
327.84,3233.55,673.108,1195.7
330.509,3290.65,675.671,1211.75
333.177,3335.15,678.234,1198.2
335.844,3381.0,680.795,1194.5
338.51,3499.35,683.356,1201.4
341.175,3649.8,685.916,1201.05
343.839,3895.85,688.475,1202.35
346.503,4173.95,691.033,1223.75
349.166,4303.35,693.591,1233.15
351.828,4378.0,696.147,1240.0
354.489,4281.75,698.703,1253.55
357.149,4080.7,701.259,1236.8
359.809,3846.3,703.813,1250.35
362.468,3653.1,706.367,1236.45
365.126,3553.8,708.92,1233.85
367.783,3514.1,711.472,1239.3
370.439,3509.7,714.023,1255.7
373.094,3478.25,716.574,1246.4
375.749,3424.45,719.124,1269.55
378.403,3484.45,721.673,1333.0
381.056,3459.65,724.221,1416.55
383.708,3496.65,726.769,1539.05
386.359,3471.55,729.316,1693.8
389.01,3485.7,731.862,1817.15
391.66,3514.05,734.407,1859.3
394.309,3548.2,736.951,1819.6
396.957,3529.1,739.495,1723.95
399.604,3572.5,742.038,1570.0
402.25,3600.6,744.58,1447.45
404.896,3635.95,747.122,1366.35
407.541,3677.2,749.662,1332.05
410.185,3695.85,752.202,1314.4
412.828,3679.8,754.741,1309.1
415.471,3677.3,757.279,1326.4
418.112,3679.15,759.817,1337.25
420.753,3660.35,762.354,1355.1
423.393,3627.5,764.89,1400.3
426.032,3606.05,767.425,1451.15
428.67,3623.3,769.96,1539.15
431.308,3632.55,772.493,1685.15
433.945,3624.15,775.026,1941.8
436.581,3627.85,777.559,2568.05
439.216,3625.0,780.09,4081.1
441.85,3595.65,782.621,8174.55
444.483,3609.25,785.151,18738.7
447.116,3605.15,787.68,23261.75
449.748,3614.0,790.208,23235.3
452.379,3558.8,792.736,22100.1
455.009,3583.5,795.263,17319.95
457.639,3613.3,797.789,7701.85
460.267,3649.05,800.314,3780.95
462.895,3743.85,802.839,2919.7
465.522,3899.3,805.363,2731.45
468.149,3966.3,807.886,2753.95
470.774,3888.15,810.408,2850.55
473.399,3818.0,812.93,2877.75
476.022,3674.45,815.451,2810.7
478.645,3490.6,817.971,2612.95
481.268,3405.75,820.49,2334.3
483.889,3384.8,823.009,2077.3
486.51,3367.1,825.526,1869.7
489.13,3411.05,828.044,1737.9
491.749,3409.5,830.56,1690.05
494.367,3399.0,833.075,1711.65
496.984,3375.1,835.59,1721.2
499.601,3268.25,838.104,1785.1
502.217,3183.45,840.617,1856.0
504.832,3070.9,843.13,1943.65
507.446,2988.8,845.642,1948.0
510.059,2985.55,848.153,1910.0
512.672,3142.2,850.663,1789.2
515.284,3531.75,853.172,1652.9
517.895,4682.8,855.681,1528.35
520.505,7818.0,858.189,1419.45
523.114,9774.55,860.696,1340.45
525.723,9983.3,863.203,1293.25
528.331,9556.1,865.709,1264.35
530.938,8151.05,868.214,1241.65
533.544,4969.85,870.718,1220.8
536.149,3117.3,873.221,1202.0
538.754,2512.1,875.724,1196.15
